Parametro,region,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,anual
Precipitacion,Finland,68.372651788,28.298270882,44.112645457,38.734780913,65.063513614,83.714559476,89.023849067,48.891647036,66.743648011,30.674202118,66.24448979900001,65.879668182,695.7539263430001
Precipitacion,Finland,39.225932224,67.428853158,15.146473211,46.254784825,29.776012557,79.329509797,101.400685423,100.399758006,46.27564667,19.135170749,59.288639517,34.704150652,638.365616789
Precipitacion,Finland,23.73464551,29.555529176,34.246887672,43.062720773,21.372610234,56.148364609,69.472586608,94.762782076,55.881369061,75.16610762,64.741827294,80.626482759,648.771913392
Precipitacion,Finland,47.161741122,12.826155636,28.461087487,35.604220701,19.169820399000002,59.42578607,43.809827998,71.832659276,75.50108167,42.450935928,23.770656054,39.193205925,499.207178266
Precipitacion,Finland,44.976650803,47.2839737,45.754600132,13.012790961999999,70.219618916,46.787498611000004,36.678851959,57.383395377999996,67.781178889,69.51747259,74.347101332,66.839452557,640.582585829
Precipitacion,Norway,180.622709442,116.097643042,110.22539905,74.342984209,115.867125428,83.938907355,97.43719361,111.000000759,138.860507049,79.423251633,174.73902063399998,210.483984877,1493.0387270879999
Precipitacion,Norway,90.355833207,107.750088246,67.815147551,66.669442685,58.845999953,63.606293561,111.094370223,141.467103401,110.554899659,61.768077587,123.80818918599999,174.089243804,1177.824689063
Precipitacion,Norway,123.129761429,86.305215355,103.020609874,90.616717407,66.131183085,109.924919021,104.902332011,138.523037863,112.371711052,196.399374986,163.759857865,171.628652506,1466.713372454
Precipitacion,Norway,119.547431389,50.402024892,38.099437847,61.97731415,34.39352443,67.95455491,50.875898983,145.53394457000002,245.68379674000002,170.825050571,84.92915081,111.402951745,1181.6250810370002
Precipitacion,Norway,95.061864565,91.300896143,125.037144608,19.815065534,94.427666289,110.269426508,75.95786864,152.358126643,167.85064505900002,123.162128666,74.693229031,171.260416302,1301.1944779880002
Precipitacion,Sweden,85.755620528,28.708083408,46.547317454,29.819783642,91.796399265,58.892865394,107.383106823,42.831001662,87.260127185,13.145484584,72.931465107,52.30547504,717.376730092
Precipitacion,Sweden,40.408373592,42.851368762,29.445288296999998,55.793430351,38.653876439,52.092891761000004,72.526297409,84.167201405,31.448741578,41.097793967,67.405486541,33.916301869,589.807051971
Precipitacion,Sweden,30.375916687,37.666394779,37.095286148,32.716776317,25.522162888,70.265579739,59.955555554,92.217275748,70.568037742,92.442904845,73.534428516,77.119907085,699.4802260480001
Precipitacion,Sweden,66.957736161,30.172105286,30.401340685,35.347056716,18.470507336,39.998313661,37.120798824,81.917896865,52.551111111,49.092172421,28.133470433,60.223454681999996,530.385964181
Precipitacion,Sweden,39.69316546,49.236346782,70.734020619,10.853436425,70.889675649,57.943229166,51.531421307,77.314292316,80.43979783099999,76.02332936399999,67.232285017,70.105779334,721.9967792699999
